python -m agents.afterstate_trainer --selfplay 2000000 --alpha 0.1 --alpha-final 0.001 --epsilon-start 1.0 --epsilon-min 0.001 --gamma 1.0 --seed 1 --output trained_models/w_100_s1_1m.npy --mix 0               
W-table initialised: 2154 terminal winning states set to 1.0 (1.9% of 113028 states).

Phase 2: 2000000 self-play episodes (update=mc, gamma=1.0, eps 1.0 -> 0.001, alpha 0.1 -> 0.001)...
  Ep  360000/2000000 | eps=0.2884 | alpha=0.0437 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/1.5%L/1.5%D | 752s
  Ep  365000/2000000 | eps=0.2835 | alpha=0.0432 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.0%W/3.0%L/1.0%D | 761s
  Ep  370000/2000000 | eps=0.2786 | alpha=0.0427 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 93.5%W/5.5%L/1.0%D | 771s
  Ep  375000/2000000 | eps=0.2738 | alpha=0.0422 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/3.0%L/1.5%D | 780s
  Ep  380000/2000000 | eps=0.2692 | alpha=0.0417 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 96.0%W/3.5%L/0.5%D | 790s
  Ep  385000/2000000 | eps=0.2645 | alpha=0.0412 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/3.5%L/1.0%D | 799s
  Ep  390000/2000000 | eps=0.2600 | alpha=0.0407 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 94.5%W/3.5%L/2.0%D | 808s
  Ep  395000/2000000 | eps=0.2556 | alpha=0.0403 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/3.0%L/0.0%D | 818s
  Ep  400000/2000000 | eps=0.2512 | alpha=0.0398 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/3.0%L/1.5%D | 828s
  Ep  405000/2000000 | eps=0.2469 | alpha=0.0394 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/0.5%L/2.0%D | 837s
  Ep  410000/2000000 | eps=0.2427 | alpha=0.0389 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 96.5%W/1.5%L/2.0%D | 847s
  Ep  415000/2000000 | eps=0.2385 | alpha=0.0385 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/1.5%L/1.0%D | 857s
  Ep  420000/2000000 | eps=0.2344 | alpha=0.0380 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/2.5%L/3.0%D | 867s
  Ep  425000/2000000 | eps=0.2304 | alpha=0.0376 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 94.0%W/2.0%L/4.0%D | 877s
  Ep  430000/2000000 | eps=0.2265 | alpha=0.0372 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.0%W/2.5%L/1.5%D | 887s
  Ep  435000/2000000 | eps=0.2226 | alpha=0.0367 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/3.0%L/1.5%D | 897s
